Feature Number,Attractive,Indifferent,Must have,Performance,Questionable,Reverse,Classification
1,8,10,0,2,1,1,I
2,6,5,4,6,1,0,A/P
3,9,5,0,8,0,0,A
4,4,3,5,10,0,0,P
5,5,5,6,6,0,0,M/P
6,6,6,1,3,2,4,A/I
7,9,11,1,1,0,0,I
8,12,10,0,0,0,0,A
9,6,12,1,2,0,1,I
10,8,10,1,3,0,0,I
11,6,8,4,4,0,0,I
12,8,8,0,0,0,6,A/I
13,7,8,1,0,0,6,I
14,16,5,0,1,0,0,A
